team_a_name,team_b_name,team_a_pos,team_b_pos,team_a_ft_result,team_b_ft_result,team_a_ht_result,team_b_ht_result,team_a_won_perc,team_b_won_perc,team_a_lost_perc,team_b_lost_perc,team_a_draw_perc,team_b_draw_perc,team_a_avg_game_goals,team_b_avg_game_goals,team_a_avg_goals_scored,team_b_avg_goals_scored,team_a_avg_goals_conc,team_b_avg_goals_conc,team_a_clean_sheet,team_b_clean_sheet,team_a_failed_to_score,team_b_failed_to_score,team_a_o1_team,team_b_o1_team,team_a_o1_team_ag,team_b_o1_team_ag,team_a_btts,team_b_btts,team_a_btts_02,team_b_btts_02,team_a_o0,team_b_o0,team_a_o1,team_b_o1,team_a_02,team_b_02,team_a_o3,team_b_o3,team_a_o4,team_b_o4,team_a_avg_goals_fh,team_b_avg_goals_fh,team_a_avg_goals_fh_scored,team_b_avg_goals_fh_scored,team_a_avg_goals_fh_conc,team_b_avg_goals_fh_conc,team_a_cs_fh,team_b_cs_fh,team_a_fts_fh,team_b_fts_fh,team_a_btts_fh,team_b_btts_fh,team_a_o0_fh,team_b_o0_fh,team_a_o1_fh,team_b_o1_fh,team_a_avg_goals_sh,team_b_avg_goals_sh,team_a_avg_goals_sh_scored,team_b_avg_goals_sh_scored,team_a_avg_goals_sh_conc,team_b_avg_goals_sh_conc,team_a_cs_sh,team_b_cs_sh,team_a_fts_sh,team_b_fts_sh,team_a_btts_sh,team_b_btts_sh,team_a_o0_sh,team_b_o0_sh,team_a_o1_sh,team_b_o1_sh,team_a_avg_game_corners,team_b_avg_game_corners,team_a_o7_game_corners,team_b_o7_game_corners,team_a_o8_game_corners,team_b_o8_game_corners,team_a_o9_game_corners,team_b_o9_game_corners,team_a_o10_game_corners,team_b_o10_game_corners,team_a_avg_game_corners_fh,team_b_avg_game_corners_fh,team_a_o2_corners_fh,team_b_o2_corners_fh,team_a_o3_corners_fh,team_b_o3_corners_fh,team_a_o4_corners_fh,team_b_o4_corners_fh,team_a_avg_game_corners_sh,team_b_avg_game_corners_sh,team_a_o3_corners_sh,team_b_o3_corners_sh,team_a_o4_corners_sh,team_b_o4_corners_sh,team_a_o5_corners_sh,team_b_o5_corners_sh,team_a_avg_corners_for,team_b_avg_corners_for,team_a_avg_corners_ag,team_b_avg_corners_ag,team_a_o3_team_corners,team_b_o3_team_corners,team_a_o4_team_corners,team_b_o4_team_corners,team_a_o5_team_corners,team_b_o5_team_corners,team_a_o0_team_corners_fh,team_b_o0_team_corners_fh,team_a_o1_team_corners_fh,team_b_o1_team_corners_fh,team_a_o2_team_corners_fh,team_b_o2_team_corners_fh,team_a_o3_team_corners_fh,team_b_o3_team_corners_fh,team_a_o0_team_corners_sh,team_b_o0_team_corners_sh,team_a_o1_team_corners_sh,team_b_o1_team_corners_sh,team_a_o2_team_corners_sh,team_b_o2_team_corners_sh,team_a_o3_team_corners_sh,team_b_o3_team_corners_sh,team_a_corners_result,team_b_corners_result,team_a_corners_result_fh,team_b_corners_result_fh,team_a_corners_result_sh,team_b_corners_result_sh
Napoli,Hellas Verona,0.15,0.5,1,1,0,0,0.6,0.2,0.0,0.8,0.4,0.0,4.8,3.0,3.2,1.2,1.6,1.8,0.0,0.2,0.0,0.2,0.6,0.4,0.4,0.6,1.0,0.6,0.6,0.6,1.0,1.0,1.0,0.8,0.6,0.6,0.6,0.4,0.6,0.2,2.2,0.8,1.8,0.4,0.4,0.4,0.6,0.6,0.0,0.6,0.4,0.2,1.0,0.6,0.6,0.2,2.6,2.2,1.4,0.8,1.2,1.4,0.2,0.2,0.4,0.4,0.4,0.4,1.0,1.0,0.6,0.8,7.2,10.8,0.4,1.0,0.4,1.0,0.4,0.8,0.2,0.8,3.6,4.6,0.8,0.8,0.6,0.6,0.4,0.4,3.6,6.2,0.4,0.8,0.4,0.8,0.4,0.8,4.0,6.8,3.2,4.0,0.4,1.0,0.2,1.0,0.2,0.6,1.0,1.0,0.6,1.0,0.2,0.2,0.2,0.2,0.8,1.0,0.6,0.8,0.4,0.8,0.0,0.4,5,3,2,2,3,1
Granada,Getafe,0.5,0.8,0,0,0,0,0.4,0.2,0.6,0.6,0.0,0.2,3.0,2.2,1.2,0.8,1.8,1.4,0.2,0.4,0.4,0.6,0.2,0.4,0.4,0.2,0.4,0.2,0.4,0.2,1.0,0.8,0.6,0.4,0.6,0.2,0.4,0.2,0.4,0.2,1.4,1.2,0.4,0.4,1.0,0.8,0.4,0.6,0.8,0.6,0.0,0.2,0.8,0.6,0.6,0.2,1.6,1.0,0.8,0.4,0.8,0.6,0.4,0.6,0.4,0.6,0.4,0.2,0.8,0.6,0.4,0.2,9.0,5.0,0.8,0.2,0.6,0.0,0.6,0.0,0.4,0.0,4.6,2.8,1.0,0.6,0.6,0.4,0.4,0.0,4.4,2.2,0.6,0.2,0.6,0.0,0.4,0.0,3.8,2.8,5.2,2.2,0.6,0.6,0.2,0.2,0.2,0.0,0.8,0.6,0.6,0.6,0.6,0.2,0.2,0.0,1.0,0.8,0.6,0.4,0.0,0.2,0.0,0.0,6,3,3,2,3,1
Sevilla,Deportivo Alavés,0.2,0.8,1,0,0,0,0.8,0.2,0.2,0.4,0.0,0.4,1.6,1.6,1.2,0.6,0.4,1.0,0.6,0.4,0.2,0.6,0.4,0.2,0.0,0.2,0.2,0.2,0.2,0.0,1.0,0.8,0.4,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.2,0.0,0.2,1.0,0.8,0.6,0.8,0.0,0.0,0.4,0.4,0.0,0.0,1.2,1.2,0.8,0.4,0.4,0.8,0.6,0.4,0.2,0.6,0.2,0.2,1.0,0.8,0.2,0.4,7.2,11.6,0.6,1.0,0.2,1.0,0.2,0.8,0.0,0.6,3.0,6.6,0.6,1.0,0.4,1.0,0.2,0.8,4.2,5.0,0.8,0.8,0.4,0.8,0.2,0.2,4.2,4.6,3.0,7.0,0.6,0.8,0.4,0.8,0.2,0.2,1.0,1.0,0.8,0.4,0.2,0.2,0.2,0.2,1.0,1.0,0.4,0.6,0.4,0.6,0.2,0.6,6,4,2,2,4,1
Sant Julià,Inter Club d'Escaldes,0.5,0.25,1,0,0,0,0.4,0.8,0.4,0.0,0.2,0.2,3.0,3.0,1.6,2.4,1.4,0.6,0.2,0.4,0.2,0.0,0.6,0.8,0.6,0.0,0.6,0.6,0.6,0.4,1.0,1.0,1.0,1.0,0.6,0.6,0.4,0.2,0.0,0.2,1.8,1.6,0.8,1.4,1.0,0.2,0.2,0.8,0.2,0.2,0.6,0.2,1.0,0.8,0.6,0.6,1.2,1.4,0.8,1.0,0.4,0.4,0.6,0.6,0.4,0.0,0.0,0.4,1.0,1.0,0.2,0.4,11.0,10.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,6.0,5.5,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,0.5,1.0,0.5,0.0,0.5,4.0,7.0,7.0,3.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,5,8,4,1,1,7
Sydney,Western Sydney Wanderers,0.16666666666666666,0.6666666666666666,1,0,0,0,0.6,0.0,0.0,0.6,0.4,0.4,2.0,4.8,1.4,1.6,0.6,3.2,0.6,0.0,0.0,0.0,0.4,0.2,0.2,0.6,0.4,1.0,0.2,0.6,1.0,1.0,0.6,1.0,0.2,0.6,0.2,0.6,0.0,0.6,0.6,2.0,0.6,0.6,0.0,1.4,1.0,0.2,0.4,0.4,0.0,0.4,0.6,1.0,0.0,0.6,1.4,2.8,0.8,1.0,0.6,1.8,0.6,0.2,0.2,0.4,0.4,0.4,0.8,1.0,0.4,0.6,13.6,14.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.2,6.8,1.0,1.0,0.8,1.0,0.8,0.8,7.4,7.4,1.0,1.0,1.0,1.0,1.0,1.0,6.6,5.2,7.0,9.0,0.8,0.6,0.8,0.4,0.8,0.4,1.0,0.8,0.6,0.6,0.4,0.2,0.4,0.2,1.0,1.0,0.8,0.8,0.8,0.4,0.4,0.4,11,2,6,1,5,1
Melbourne Victory,Adelaide United,0.9166666666666666,0.3333333333333333,0,1,0,1,0.2,0.0,0.6,0.8,0.2,0.2,4.2,3.6,1.6,1.2,2.6,2.4,0.0,0.0,0.2,0.0,0.2,0.2,0.8,1.0,0.8,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.4,0.4,0.2,0.2,2.0,0.8,1.0,0.2,1.0,0.6,0.0,0.6,0.4,0.8,0.6,0.0,1.0,0.6,0.6,0.2,2.2,2.8,0.6,1.0,1.6,1.8,0.2,0.0,0.6,0.2,0.2,0.8,1.0,1.0,0.6,1.0,11.6,12.6,0.8,1.0,0.8,1.0,0.8,0.8,0.6,0.4,4.4,7.2,0.6,1.0,0.6,0.8,0.4,0.8,7.2,5.4,0.8,1.0,0.8,0.8,0.8,0.4,4.4,7.2,7.2,5.4,0.4,0.6,0.4,0.6,0.2,0.4,1.0,0.8,0.4,0.6,0.4,0.6,0.0,0.4,1.0,1.0,0.8,0.6,0.2,0.2,0.2,0.2,3,8,1,6,2,2
Perth Glory,Macarthur,0.75,0.4166666666666667,1,1,1,1,0.8,0.4,0.2,0.4,0.0,0.2,3.8,2.2,2.6,0.8,1.2,1.4,0.2,0.4,0.0,0.4,0.8,0.2,0.2,0.4,0.8,0.4,0.8,0.4,1.0,0.8,1.0,0.6,1.0,0.6,0.4,0.2,0.2,0.0,1.6,1.4,1.0,0.4,0.6,1.0,0.6,0.4,0.4,0.6,0.2,0.4,0.8,0.6,0.6,0.6,2.2,0.8,1.6,0.4,0.6,0.4,0.4,0.8,0.2,0.6,0.4,0.0,1.0,0.6,0.6,0.2,14.2,13.2,1.0,1.0,0.8,1.0,0.8,1.0,0.8,1.0,7.6,5.0,0.8,0.8,0.8,0.8,0.8,0.8,6.6,8.2,1.0,1.0,1.0,0.8,0.6,0.8,5.2,4.8,9.0,8.4,0.6,0.6,0.4,0.6,0.4,0.2,1.0,0.8,0.6,0.8,0.4,0.4,0.4,0.0,0.8,1.0,0.6,0.8,0.4,0.4,0.2,0.2,2,9,0,5,2,4
Brisbane Roar,Melbourne City,0.5,0.08333333333333333,3,0,2,0,0.2,0.4,0.0,0.2,0.8,0.4,1.4,3.2,0.8,1.8,0.6,1.4,0.4,0.0,0.4,0.0,0.2,0.4,0.0,0.4,0.6,1.0,0.2,0.6,0.6,1.0,0.6,1.0,0.2,0.6,0.0,0.4,0.0,0.2,0.4,1.4,0.2,1.0,0.2,0.4,0.8,0.6,0.8,0.4,0.0,0.4,0.4,0.6,0.0,0.4,1.0,1.8,0.6,0.8,0.4,1.0,0.6,0.2,0.6,0.2,0.2,0.6,0.6,1.0,0.2,0.8,10.4,12.4,1.0,1.0,0.6,1.0,0.6,1.0,0.6,0.8,5.2,5.8,1.0,1.0,0.8,1.0,0.6,1.0,5.2,6.6,1.0,1.0,0.6,0.8,0.4,0.6,5.0,7.8,5.4,4.6,0.8,1.0,0.8,1.0,0.4,0.8,1.0,1.0,1.0,0.8,0.4,0.6,0.2,0.4,0.8,1.0,0.8,1.0,0.6,0.8,0.2,0.8,3,13,2,7,1,6
Nea Salamis,Doxa,0.625,0.5,1,4,0,2,0.2,0.4,0.6,0.4,0.2,0.2,2.8,2.0,1.2,1.4,1.6,0.6,0.0,0.6,0.2,0.4,0.2,0.2,0.6,0.2,0.8,0.2,0.6,0.2,1.0,0.8,1.0,0.4,0.6,0.4,0.2,0.2,0.0,0.2,1.6,1.2,0.8,1.0,0.8,0.2,0.2,0.8,0.4,0.6,0.4,0.2,1.0,0.4,0.4,0.4,1.2,0.8,0.4,0.4,0.8,0.4,0.4,0.6,0.6,0.6,0.2,0.0,0.8,0.8,0.4,0.0,8.25,7.4,0.75,0.6,0.5,0.6,0.25,0.6,0.0,0.6,2.75,4.75,0.75,0.75,0.0,0.75,0.0,0.5,5.5,4.5,0.75,0.75,0.75,0.5,0.5,0.25,5.0,3.4,3.25,4.0,0.75,0.4,0.5,0.4,0.5,0.2,1.0,1.0,0.75,0.5,0.0,0.25,0.0,0.25,0.75,1.0,0.75,0.25,0.5,0.25,0.5,0.25,6,1,2,1,4,0
Macarthur,Central Coast Mariners,0.5,0.4166666666666667,1,2,1,1,0.4,0.2,0.2,0.4,0.4,0.4,3.0,1.0,1.8,0.4,1.2,0.6,0.2,0.4,0.0,0.6,0.6,0.0,0.4,0.0,0.8,0.2,0.6,0.0,1.0,0.8,1.0,0.2,0.6,0.0,0.4,0.0,0.0,0.0,1.6,0.4,1.2,0.2,0.4,0.2,0.6,0.8,0.4,0.8,0.2,0.0,0.8,0.4,0.6,0.0,1.4,0.6,0.6,0.2,0.8,0.4,0.2,0.6,0.4,0.8,0.6,0.0,0.8,0.6,0.6,0.0,9.8,8.0,0.8,0.6,0.8,0.6,0.8,0.4,0.4,0.2,5.2,4.2,1.0,0.8,1.0,0.6,0.6,0.2,4.6,3.8,0.8,0.6,0.6,0.4,0.4,0.2,5.0,4.8,4.8,3.2,0.8,0.4,0.8,0.4,0.4,0.4,1.0,1.0,0.8,0.4,0.6,0.4,0.0,0.2,1.0,0.8,0.8,0.8,0.4,0.4,0.4,0.4,8,4,3,2,5,2
Western United,Melbourne Victory,0.8333333333333334,0.9166666666666666,1,6,1,4,0.6,0.0,0.2,1.0,0.2,0.0,1.8,3.4,1.2,0.4,0.6,3.0,0.4,0.0,0.2,0.6,0.4,0.0,0.0,0.8,0.4,0.4,0.2,0.4,1.0,1.0,0.6,0.8,0.2,0.6,0.0,0.4,0.0,0.2,1.0,1.2,0.6,0.0,0.4,1.2,0.6,0.2,0.4,1.0,0.2,0.0,0.8,0.8,0.2,0.4,0.8,2.2,0.6,0.4,0.2,1.8,0.8,0.2,0.6,0.6,0.0,0.4,0.6,0.8,0.2,0.6,10.6,13.8,0.6,1.0,0.6,1.0,0.6,1.0,0.4,1.0,5.4,6.8,0.8,1.0,0.6,1.0,0.4,0.8,5.2,7.0,0.8,1.0,0.6,1.0,0.4,0.8,2.4,5.8,8.2,8.0,0.2,0.8,0.0,0.6,0.0,0.6,0.8,1.0,0.6,0.8,0.4,0.6,0.0,0.4,0.6,1.0,0.0,0.6,0.0,0.6,0.0,0.6,9,5,6,1,3,4
Vitebsk,Smorgon,0.4375,0.9375,5,0,2,0,0.25,0.0,0.0,0.8,0.75,0.2,1.25,2.6,0.75,0.2,0.5,2.4,0.75,0.0,0.75,0.8,0.25,0.0,0.25,0.6,0.25,0.2,0.25,0.0,0.25,1.0,0.25,0.8,0.25,0.4,0.25,0.2,0.25,0.2,0.5,1.4,0.0,0.0,0.5,1.4,0.75,0.0,1.0,1.0,0.0,0.0,0.25,1.0,0.25,0.2,0.75,1.2,0.75,0.2,0.0,1.0,1.0,0.4,0.75,0.8,0.0,0.0,0.25,0.8,0.25,0.4,8.5,7.75,0.75,0.5,0.5,0.25,0.5,0.25,0.0,0.25,4.25,4.25,1.0,1.0,0.75,1.0,0.25,0.25,4.25,3.5,0.75,0.25,0.25,0.25,0.25,0.25,2.25,1.5,6.25,6.25,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.75,1.0,0.25,0.0,0.0,0.0,0.0,0.0,5,3,4,2,1,1
Adelaide United,Sydney,0.3333333333333333,0.16666666666666666,1,4,0,1,0.4,0.4,0.0,0.2,0.6,0.4,1.4,3.0,1.0,1.8,0.4,1.2,0.6,0.4,0.4,0.0,0.2,0.6,0.0,0.4,0.4,0.6,0.2,0.4,0.6,1.0,0.4,0.8,0.2,0.6,0.2,0.4,0.0,0.2,0.8,1.2,0.6,0.4,0.2,0.8,0.8,0.6,0.4,0.6,0.2,0.2,0.6,0.6,0.2,0.4,0.6,1.8,0.4,1.4,0.2,0.4,0.8,0.6,0.8,0.0,0.0,0.4,0.4,1.0,0.2,0.6,11.8,13.0,1.0,0.8,1.0,0.8,0.8,0.6,0.8,0.6,5.0,5.8,1.0,0.8,1.0,0.4,0.4,0.4,6.8,7.2,1.0,1.0,0.8,0.8,0.6,0.6,7.4,10.0,4.4,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.6,0.4,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,5,6,3,4,2,2
ES Sétif,NA Hussein Dey,0.05,0.8,3,2,2,0,0.8,0.0,0.0,0.8,0.2,0.2,4.0,2.8,3.6,1.0,0.4,1.8,0.6,0.0,0.0,0.2,0.6,0.2,0.0,0.6,0.4,0.8,0.2,0.6,1.0,1.0,0.8,0.8,0.6,0.6,0.6,0.2,0.4,0.2,2.0,1.8,2.0,0.6,0.0,1.2,1.0,0.4,0.4,0.4,0.0,0.4,0.6,0.8,0.6,0.4,2.0,1.0,1.6,0.4,0.4,0.6,0.6,0.4,0.0,0.6,0.4,0.2,1.0,0.8,0.6,0.2,6.8,9.6,0.2,0.8,0.2,0.8,0.2,0.6,0.2,0.6,3.4,3.6,0.6,0.8,0.4,0.4,0.2,0.2,3.4,6.0,0.2,1.0,0.2,0.8,0.2,0.6,3.6,4.8,3.2,4.8,0.6,0.6,0.2,0.4,0.0,0.2,0.8,1.0,0.6,0.8,0.4,0.4,0.0,0.2,1.0,0.8,0.6,0.6,0.2,0.2,0.0,0.2,3,6,2,1,1,5
CA Bordj Bou Arreridj,Paradou AC,1.0,0.5,3,2,1,1,0.2,0.4,0.6,0.2,0.2,0.4,2.4,2.0,0.6,1.0,1.8,1.0,0.2,0.4,0.4,0.2,0.0,0.2,0.6,0.2,0.4,0.6,0.2,0.4,1.0,0.8,0.8,0.6,0.4,0.4,0.2,0.2,0.0,0.0,1.6,0.8,0.6,0.4,1.0,0.4,0.6,0.6,0.4,0.6,0.2,0.2,0.8,0.6,0.4,0.2,0.8,1.2,0.0,0.6,0.8,0.6,0.4,0.6,1.0,0.6,0.0,0.4,0.6,0.4,0.2,0.4,11.0,7.6,1.0,0.4,0.8,0.4,0.6,0.2,0.6,0.2,5.4,3.4,0.8,0.6,0.8,0.4,0.8,0.4,5.6,4.2,1.0,0.6,0.6,0.4,0.6,0.2,5.6,2.8,5.4,4.8,0.6,0.4,0.6,0.4,0.6,0.0,1.0,0.6,0.6,0.2,0.4,0.0,0.4,0.0,0.8,1.0,0.8,0.4,0.4,0.4,0.4,0.2,7,1,3,0,4,1
MC Oran,USM Bel Abbès,0.15,0.95,1,1,0,0,0.4,0.0,0.0,0.8,0.6,0.2,2.2,3.0,1.4,0.4,0.8,2.6,0.4,0.0,0.4,0.6,0.4,0.0,0.2,0.4,0.6,0.4,0.4,0.2,0.6,1.0,0.6,0.6,0.4,0.4,0.4,0.2,0.2,0.2,1.2,1.2,0.8,0.0,0.4,1.2,0.6,0.4,0.6,1.0,0.2,0.0,0.6,0.6,0.2,0.2,1.0,1.8,0.6,0.4,0.4,1.4,0.6,0.2,0.6,0.6,0.2,0.4,0.6,0.8,0.2,0.6,11.4,7.0,1.0,0.25,1.0,0.25,0.8,0.25,0.6,0.0,4.0,2.25,1.0,0.5,0.6,0.0,0.2,0.0,7.4,4.75,0.8,0.5,0.8,0.5,0.8,0.5,7.4,2.5,4.0,4.5,0.8,0.25,0.8,0.0,0.6,0.0,0.8,0.75,0.6,0.25,0.6,0.0,0.2,0.0,1.0,0.5,1.0,0.5,0.6,0.5,0.6,0.0,11,2,5,1,6,1
US Biskra,Tlemcen,0.65,0.85,2,0,2,0,0.8,0.2,0.2,0.6,0.0,0.2,1.0,2.4,0.8,1.0,0.2,1.4,0.8,0.2,0.2,0.4,0.0,0.2,0.0,0.2,0.0,0.4,0.0,0.2,1.0,1.0,0.0,0.6,0.0,0.4,0.0,0.2,0.0,0.2,0.2,1.4,0.2,0.2,0.0,1.2,1.0,0.2,0.8,0.8,0.0,0.0,0.2,1.0,0.0,0.2,0.8,1.0,0.6,0.8,0.2,0.2,0.8,0.8,0.4,0.4,0.0,0.2,0.8,0.6,0.0,0.4,9.0,8.25,0.6,0.5,0.6,0.5,0.4,0.5,0.4,0.25,4.8,4.5,0.8,1.0,0.8,0.5,0.4,0.25,4.2,3.75,0.4,0.5,0.4,0.5,0.4,0.25,5.8,4.0,3.2,4.25,0.8,0.5,0.6,0.5,0.6,0.5,1.0,0.75,0.8,0.25,0.6,0.25,0.4,0.0,0.8,0.75,0.6,0.5,0.4,0.5,0.4,0.5,2,3,1,2,1,1
ASO Chlef,JSM Skikda,0.6,0.9,1,0,0,0,0.2,0.0,0.6,1.0,0.2,0.0,2.6,3.4,1.0,1.0,1.6,2.4,0.2,0.0,0.2,0.2,0.2,0.2,0.4,0.8,0.6,0.8,0.4,0.8,1.0,1.0,0.6,0.8,0.4,0.8,0.4,0.4,0.2,0.4,1.2,1.0,0.2,0.2,1.0,0.8,0.4,0.4,0.8,0.8,0.0,0.2,0.8,0.6,0.4,0.2,1.4,2.4,0.8,0.8,0.6,1.6,0.4,0.2,0.4,0.4,0.6,0.6,0.6,0.8,0.6,0.8,9.8,6.0,0.8,0.6,0.6,0.4,0.4,0.2,0.2,0.2,3.6,7.0,1.0,1.0,0.4,1.0,0.2,1.0,6.2,3.0,1.0,0.33,0.6,0.33,0.6,0.33,6.6,2.8,3.4,3.2,0.8,0.4,0.6,0.4,0.4,0.2,0.8,1.0,0.4,0.67,0.4,0.67,0.2,0.33,1.0,0.67,1.0,0.67,1.0,0.0,0.6,0.0,2,5,0,4,2,1
MC Alger,RC Relizane,0.45,0.75,2,2,2,0,0.6,0.0,0.2,1.0,0.2,0.0,3.2,3.8,2.2,0.6,1.0,3.2,0.2,0.0,0.0,0.6,0.6,0.2,0.2,0.8,0.8,0.4,0.6,0.4,1.0,1.0,1.0,0.8,0.6,0.6,0.2,0.4,0.2,0.4,0.8,1.6,0.8,0.4,0.0,1.2,1.0,0.2,0.4,0.6,0.0,0.4,0.6,0.8,0.2,0.6,2.4,2.2,1.4,0.2,1.0,2.0,0.2,0.2,0.2,0.8,0.8,0.2,0.8,0.8,0.8,0.6,8.75,6.75,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.0,4.5,4.0,1.0,1.0,0.75,0.33,0.5,0.33,4.25,5.0,0.75,1.0,0.5,0.33,0.25,0.33,5.0,1.75,3.75,5.0,1.0,0.25,0.5,0.0,0.5,0.0,1.0,0.33,0.75,0.0,0.25,0.0,0.25,0.0,1.0,1.0,0.75,0.67,0.5,0.33,0.25,0.0,7,4,0,3,7,1
Aïn M'lila,JS Kabylie,0.55,0.25,1,1,1,0,0.6,0.6,0.2,0.2,0.2,0.2,2.0,2.6,1.0,2.0,1.0,0.6,0.4,0.4,0.2,0.2,0.2,0.6,0.2,0.0,0.4,0.4,0.2,0.2,1.0,1.0,0.6,0.8,0.4,0.4,0.0,0.2,0.0,0.2,0.6,0.6,0.0,0.4,0.6,0.2,0.4,0.8,1.0,0.6,0.0,0.0,0.6,0.6,0.0,0.0,1.4,2.0,1.0,1.6,0.4,0.4,0.8,0.6,0.2,0.2,0.0,0.2,1.0,1.0,0.4,0.4,10.6,6.6,0.8,0.2,0.8,0.0,0.8,0.0,0.8,0.0,5.0,3.2,1.0,0.6,0.8,0.2,0.6,0.2,5.6,3.4,0.8,0.4,0.8,0.2,0.6,0.2,6.0,2.6,4.6,4.0,0.8,0.4,0.8,0.2,0.4,0.0,0.8,0.8,0.8,0.0,0.6,0.0,0.4,0.0,0.6,0.8,0.6,0.4,0.4,0.4,0.4,0.2,2,5,0,3,2,2
Wellington Phoenix,Perth Glory,0.5833333333333334,0.6666666666666666,2,2,1,0,0.6,0.0,0.4,0.6,0.0,0.4,3.4,2.4,2.0,0.6,1.4,1.8,0.2,0.0,0.2,0.6,0.8,0.2,0.4,0.6,0.6,0.4,0.6,0.2,1.0,1.0,0.8,0.8,0.8,0.4,0.4,0.2,0.4,0.0,1.2,1.0,0.6,0.2,0.6,0.8,0.6,0.4,0.4,0.8,0.4,0.2,0.6,0.6,0.4,0.4,2.2,1.4,1.4,0.4,0.8,1.0,0.2,0.2,0.2,0.6,0.6,0.4,1.0,0.8,0.8,0.6,10.8,9.4,1.0,0.8,1.0,0.6,0.8,0.6,0.4,0.4,4.0,3.8,0.6,1.0,0.6,0.6,0.4,0.2,6.8,5.6,1.0,0.8,1.0,0.8,0.6,0.6,6.8,5.2,4.0,4.2,1.0,0.8,1.0,0.6,0.8,0.4,1.0,1.0,1.0,1.0,0.4,0.2,0.2,0.0,1.0,1.0,1.0,0.8,1.0,0.6,0.4,0.4,8,4,1,0,7,3
Western Sydney Wanderers,Brisbane Roar,0.75,0.4166666666666667,2,0,1,0,0.4,0.6,0.4,0.4,0.2,0.0,4.0,3.2,2.4,2.0,1.6,1.2,0.2,0.2,0.0,0.2,0.6,0.8,0.8,0.2,0.8,0.6,0.8,0.6,1.0,1.0,1.0,0.8,1.0,0.8,0.6,0.4,0.4,0.2,2.2,2.0,1.2,1.2,1.0,0.8,0.4,0.4,0.2,0.2,0.4,0.4,1.0,1.0,0.8,0.4,1.8,1.2,1.2,0.8,0.6,0.4,0.6,0.6,0.4,0.6,0.4,0.2,0.6,0.6,0.6,0.4,11.0,12.0,1.0,1.0,1.0,1.0,0.8,1.0,0.4,0.8,4.8,4.0,1.0,0.8,0.8,0.8,0.4,0.4,6.2,8.0,0.8,1.0,0.8,1.0,0.6,0.8,5.4,5.2,5.6,6.8,0.6,1.0,0.6,0.8,0.4,0.2,0.8,1.0,0.8,0.6,0.2,0.0,0.2,0.0,0.8,1.0,0.8,1.0,0.4,0.8,0.2,0.4,5,13,2,6,3,7
ES Sétif,NA Hussein Dey,0.05,0.8,3,2,2,0,0.8,0.0,0.0,0.8,0.2,0.2,4.0,2.8,3.6,1.0,0.4,1.8,0.6,0.0,0.0,0.2,0.6,0.2,0.0,0.6,0.4,0.8,0.2,0.6,1.0,1.0,0.8,0.8,0.6,0.6,0.6,0.2,0.4,0.2,2.0,1.8,2.0,0.6,0.0,1.2,1.0,0.4,0.4,0.4,0.0,0.4,0.6,0.8,0.6,0.4,2.0,1.0,1.6,0.4,0.4,0.6,0.6,0.4,0.0,0.6,0.4,0.2,1.0,0.8,0.6,0.2,6.8,9.6,0.2,0.8,0.2,0.8,0.2,0.6,0.2,0.6,3.4,3.6,0.6,0.8,0.4,0.4,0.2,0.2,3.4,6.0,0.2,1.0,0.2,0.8,0.2,0.6,3.6,4.8,3.2,4.8,0.6,0.6,0.2,0.4,0.0,0.2,0.8,1.0,0.6,0.8,0.4,0.4,0.0,0.2,1.0,0.8,0.6,0.6,0.2,0.2,0.0,0.2,3,6,2,1,1,5
ES Sétif,NA Hussein Dey,0.05,0.8,3,2,2,0,0.8,0.0,0.0,0.8,0.2,0.2,4.0,2.8,3.6,1.0,0.4,1.8,0.6,0.0,0.0,0.2,0.6,0.2,0.0,0.6,0.4,0.8,0.2,0.6,1.0,1.0,0.8,0.8,0.6,0.6,0.6,0.2,0.4,0.2,2.0,1.8,2.0,0.6,0.0,1.2,1.0,0.4,0.4,0.4,0.0,0.4,0.6,0.8,0.6,0.4,2.0,1.0,1.6,0.4,0.4,0.6,0.6,0.4,0.0,0.6,0.4,0.2,1.0,0.8,0.6,0.2,6.8,9.6,0.2,0.8,0.2,0.8,0.2,0.6,0.2,0.6,3.4,3.6,0.6,0.8,0.4,0.4,0.2,0.2,3.4,6.0,0.2,1.0,0.2,0.8,0.2,0.6,3.6,4.8,3.2,4.8,0.6,0.6,0.2,0.4,0.0,0.2,0.8,1.0,0.6,0.8,0.4,0.4,0.0,0.2,1.0,0.8,0.6,0.6,0.2,0.2,0.0,0.2,3,6,2,1,1,5
